year;price_soybeans;price_corn;price_soybean_meal;gdp_china;gdp_iran;gpd_netherlands;gdp_spain;gdp_thailand;gdp_world;gdp_egypt;gdp_japan;gdp_vietnam
1979;;;;100.00;100.00;;100.00;100.00;100.00;100.00;100.00;100.00
1980;100.00;100.00;100.00;107.90;81.20;100.00;101.20;104.60;102.10;103.40;103.20;96.50
1981;98.50;103.90;99.80;113.40;74.20;99.50;100.80;110.80;104.00;105.70;107.50;102.10
1982;83.40;86.00;86.60;123.60;83.90;98.20;102.00;116.80;104.70;113.40;111.10;110.50
1983;97.90;108.20;98.70;137.00;95.50;100.00;103.70;123.30;107.60;123.50;115.00;118.30
1984;97.10;108.00;84.70;157.80;86.10;103.10;105.50;130.40;112.40;133.40;120.10;128.30
1985;76.50;89.40;64.40;179.10;84.30;105.90;108.00;136.40;116.50;143.20;126.40;135.40
1986;71.20;69.80;74.00;195.00;76.70;109.10;111.70;143.90;120.80;150.10;130.60;140.00
1987;73.70;60.10;81.80;217.80;79.00;111.20;118.10;157.60;125.50;156.60;136.70;143.50
1988;105.40;85.10;115.10;242.20;71.50;116.30;124.30;178.60;131.30;162.80;146.00;150.90
1989;93.10;88.60;103.70;252.40;75.20;121.60;130.50;200.40;136.30;167.70;153.10;162.60
1990;82.60;86.90;85.20;262.20;88.80;126.70;135.50;223.60;140.90;171.60;160.70;170.80
1991;78.70;85.50;85.20;286.60;98.40;129.80;138.90;242.40;144.60;175.20;166.10;180.70
1992;79.10;82.90;87.00;327.30;100.50;131.90;140.10;264.70;147.90;175.70;167.40;196.40
1993;86.70;81.20;95.90;372.80;101.80;133.60;138.30;287.70;151.00;180.80;166.60;212.30
1994;86.50;85.70;88.20;421.30;100.20;137.60;141.50;310.70;156.00;188.40;168.30;231.00
1995;84.40;98.20;88.00;467.20;101.20;141.50;147.30;335.90;161.10;196.90;172.80;252.90
1996;104.60;130.90;118.00;513.50;107.50;146.40;150.80;355.10;167.20;206.50;178.20;276.40
1997;105.80;93.20;124.00;560.70;107.00;152.70;156.70;345.10;173.90;218.70;180.10;299.10
1998;84.20;80.80;77.40;604.50;109.00;159.90;163.80;318.90;178.50;235.10;178.20;316.40
1999;65.90;71.80;67.60;651.00;109.30;167.90;171.50;333.60;184.90;249.40;177.60;331.60
2000;69.00;70.20;82.90;706.30;116.90;175.00;180.20;348.60;193.80;262.90;182.60;354.20
2001;63.60;71.30;80.00;765.70;117.80;179.00;187.30;360.40;198.60;272.10;183.30;378.60
2002;71.20;79.00;81.50;835.30;130.00;179.30;192.30;382.40;204.60;280.80;183.50;405.50
2003;87.90;83.70;95.10;918.90;141.90;179.70;198.10;409.90;213.40;289.80;186.30;435.10
2004;104.30;89.00;113.90;1012.60;147.60;183.30;204.20;435.80;224.90;301.70;190.40;469.00
2005;84.10;78.40;91.20;1128.00;155.10;187.00;211.80;454.10;235.90;315.20;193.60;504.20
2006;82.00;96.80;86.00;1271.30;163.30;193.50;220.50;476.80;248.90;336.70;196.30;539.50
2007;119.60;130.10;116.80;1453.10;174.30;200.90;228.40;502.50;262.80;360.60;199.60;577.80
2008;170.70;177.70;163.00;1594.10;174.10;205.30;230.40;511.10;270.70;386.50;197.40;610.80
2009;142.70;131.70;159.20;1743.90;174.10;197.70;221.70;507.50;270.40;404.70;186.80;643.70
2010;145.10;147.90;146.80;1928.70;184.00;200.30;222.10;545.60;285.00;425.40;194.60;684.90
2011;182.50;232.20;167.90;2112.00;189.70;203.30;220.40;549.90;297.30;433.00;194.40;728.80
2012;202.70;237.40;209.70;2278.80;175.10;201.20;213.70;589.50;307.70;442.50;197.30;768.90
2013;194.90;206.00;211.50;2456.60;174.60;201.00;210.80;605.40;318.50;457.10;201.30;811.90
2014;172.60;153.50;206.90;2635.90;180.20;203.80;213.70;611.50;329.90;470.40;202.10;863.90
2015;130.90;135.10;156.30;2817.80;177.30;207.90;221.80;630.40;341.50;491.10;204.50;924.30
2016;136.70;126.70;155.20;3009.40;199.50;212.50;228.50;651.90;353.10;512.20;205.50;986.30
2017;135.20;123.00;154.50;3217.00;206.80;218.70;235.10;678.60;366.80;533.20;210.10;1054.30
2018;129.10;130.90;165.40;3432.60;195.70;224.30;240.70;707.10;380.10;561.50;210.70;1129.20
2019;123.30;135.40;148.20;3642.00;180.80;228.40;245.60;724.10;391.10;592.90;212.20;1208.20
2020;116.90;127.30;145.20;3685.70;169.90;211.20;225.90;675.60;379.30;604.80;201.10;1240.90
2021;121.20;130.90;148.70;4024.70;175.20;217.60;235.60;716.80;401.30;621.70;207.20;1327.70
2022;125.60;134.50;152.20;4230.00;181.30;220.40;238.70;741.50;415.20;643.20;208.80;1395.40
2023;130.10;138.20;155.80;4441.50;187.60;223.70;242.30;767.30;429.60;665.60;210.50;1465.20
2024;134.90;142.00;159.50;4663.60;194.20;227.30;246.20;794.50;444.80;689.10;212.20;1538.50
2025;139.70;145.90;163.30;4892.10;201.20;231.30;250.50;822.90;460.70;713.70;213.90;1613.80
2026;145.20;150.10;167.40;5126.90;208.30;235.50;255.00;852.00;477.10;739.00;215.40;1691.30
2027;150.70;154.40;171.50;5362.80;215.60;240.00;259.90;881.90;493.80;764.90;216.90;1769.10
2028;156.10;158.60;175.60;5604.10;223.10;244.70;265.00;912.80;511.10;791.80;218.40;1848.70
2029;161.60;162.90;179.60;5850.70;231.00;249.40;270.10;944.90;529.10;819.60;219.90;1930.10
2030;167.00;167.10;183.70;6102.20;239.10;254.30;275.40;978.10;547.60;848.40;221.50;2013.10
